,"tautocorr(signal,0)","tautocorr(signal,1)","tautocorr(signal,2)","tautocorr(signal,3)","tautocorr(signal,4)","tautocorr(signal,5)","tautocorr(signal,6)","tautocorr(signal,7)","tautocorr(signal,8)","tautocorr(signal,9)","tautocorr(signal,10)",tcount(signal),tmean(signal),tstd(signal),tcount(label),tmean(label),tstd(label),"mycorr(signal,label)"
2004-06-01,,,,,,,,,,,,0,,,0,,,
2004-07-01,,,,,,,,,,,,0,,,0,,,
2004-08-01,,,,,,,,,,,,0,,,0,,,
2004-09-01,,,,,,,,,,,,0,,,0,,,
2004-10-01,,,,,,,,,,,,0,,,0,,,
2004-11-01,,,,,,,,,,,,0,,,0,,,
2004-12-01,,,,,,,,,,,,0,,,0,,,
2005-01-01,,,,,,,,,,,,0,,,0,,,
2005-02-01,,,,,,,,,,,,0,,,0,,,
2005-03-01,,,,,,,,,,,,0,,,0,,,
2005-04-01,,,,,,,,,,,,0,,,0,,,
2005-05-01,,,,,,,,,,,,0,,,0,,,
2005-06-01,1.0,-0.4870329741942351,0.2852964994513201,-0.08412917543669766,0.07494746290710025,-0.14797171044414198,-0.24702198565358377,0.1862801086780112,-0.23205628392218278,0.08681413849213371,0.3863166454730531,16,-0.0018695825447614298,0.001142967441556603,16,-0.0038181094306691124,0.016751805876575047,-0.4796411418104995
2005-07-01,1.0,-0.36592642525231317,-0.11747221019141452,0.07733426318698823,0.04543429639146006,0.06249971544114619,-0.038155696631091404,-0.2162556747361652,0.17553008646949803,-0.024682571545088912,-0.10558224689345527,21,-0.002851955718541967,0.001400761213560346,21,-0.0028939940428473463,0.018409302554881945,-0.09203988814236526
2005-08-01,0.9999999999999999,-0.566690813033526,0.6419421012505816,-0.30237937032986656,0.4372192402428731,-0.1579287618754315,0.30234529425029943,-0.05115835457525696,0.22517008640992967,0.01943829615047324,0.22800477944080447,23,-0.0013609512496828393,0.0018272355792191843,23,0.0054933169428599835,0.016015542358875805,-0.5221526871783426
2005-09-01,1.0,0.1522071030621563,0.06368065039957116,0.21772264867645436,-0.1503510940894452,-0.2885269164743613,-0.17409284644848155,-0.12127196648435318,0.05237958618710137,0.021405170167678848,-0.14144526087376838,22,0.0003587882647925217,0.0010304209737745527,22,0.0012921609310779637,0.016322581853708433,-0.26574814483002374
2005-10-01,0.9999999999999998,0.07792120427465589,-0.11464444511262446,0.3302677330542612,0.13171641038062024,-0.3060552471993365,-0.24354780975397972,0.14230823345507504,-0.1837884183630877,-0.3294529973320096,-0.11529930893381957,16,0.0005748829322463642,0.0009807575545447357,16,-0.003007493517054713,0.01426302273925178,0.11847315412804212
2005-11-01,1.0,0.02998759934791301,-0.05969032559474327,-0.18893432325620155,-0.035654447452391394,0.36828358025605723,0.2676070039901335,0.1880526153827161,-0.14029882764783172,-0.007339325160928342,-0.1569218131178651,22,0.0002577417638210682,0.0010764716605712666,22,4.605324148214975e-05,0.011527325840747235,-0.34593324252021734
