交易日期,"tautocorr(signal,1)","tautocorr(signal,2)","tautocorr(signal,3)","tautocorr(signal,4)","tautocorr(signal,5)","tautocorr(signal,6)","tautocorr(signal,7)","tautocorr(signal,8)","tautocorr(signal,9)","tautocorr(signal,10)",tcount(signal),tmean(signal),tstd(signal),tcount(label),tmean(label),tstd(label),"mycorr(signal,label)"
2004-10-01,,,,,,,,,,,0,,,0,,,
2004-11-01,,,,,,,,,,,0,,,0,,,
2004-12-01,,,,,,,,,,,0,,,0,,,
2005-01-01,,,,,,,,,,,0,,,0,,,
2005-02-01,,,,,,,,,,,0,,,0,,,
2005-03-01,,,,,,,,,,,0,,,0,,,
2005-04-01,,,,,,,,,,,0,,,0,,,
2005-05-01,,,,,,,,,,,0,,,0,,,
2005-06-01,,,,,,,,,,,0,,,0,,,
2005-07-01,,,,,,,,,,,0,,,0,,,
2005-08-01,,,,,,,,,,,0,,,0,,,
2005-09-01,,,,,,,,,,,0,,,0,,,
2005-10-01,-0.061521446495138465,1.0,,,,,,,,,4,-0.0011643758074999999,0.0035159532179319906,4,-0.007015705660524776,0.01154382622365656,-0.09858270770610852
2005-11-01,0.46223084433025674,-0.026592245693230643,-0.01617268746772119,0.025085116294297855,0.15844986009451806,0.2953698436224758,0.09174021054676411,-0.07384028245239566,-0.13106651333577565,-0.23558707980083982,22,-0.0014772600031818183,0.007588373049654513,22,-0.00025321278180415353,0.009020348629531091,-0.13293421201489372
2005-12-01,-0.026610250351916956,-0.07474500622227716,-0.36706065900826945,-0.19555334653555895,0.1119547743069409,-0.15537801882909985,0.15975252174883636,0.08055039635126113,-0.07797776570828391,0.10054873933580419,22,0.0003117120247272726,0.007241343838517325,22,0.0025129799367448816,0.007182403986446632,0.3018626012104973
2006-01-01,-0.2923489342711689,0.1798880680580473,0.06091831666738638,0.16898719324652922,-0.27996741361627603,0.05735206240884513,-0.3922358732039709,0.1386411435826763,-0.4003011712202315,0.2914388305968492,16,0.00042169489375,0.00874182533720042,16,0.0052416906476205625,0.009293177875769741,0.2559115693978296
