,000016.SH,000300.SH,000510.SH,000688.SH,000852.SH,000905.SH,399006.SZ,932000.CSI
2004-06-09,-0.01420857522516528,,,,,,,
2004-06-10,0.003129063039391866,,,,,,,
2004-06-11,-0.001473152334924066,,,,,,,
2004-06-14,-0.01956741324978317,,,,,,,
2004-06-15,0.01937648651203538,,,,,,,
2004-06-16,0.004741150988416543,,,,,,,
2004-06-17,-0.02255060325079938,,,,,,,
2004-06-18,-0.01726406133167568,,,,,,,
2004-06-21,-0.001253270760554592,,,,,,,
2004-06-22,0.01066837264966125,,,,,,,
2004-06-23,-0.006496897255423129,,,,,,,
2004-06-24,-0.007068798775830665,,,,,,,
2004-06-25,-0.01627209592970136,,,,,,,
2004-06-28,-0.009045146289968109,,,,,,,
2004-06-29,0.0193752174002606,,,,,,,
2004-06-30,-0.003713673684758056,,,,,,,
2004-07-01,0.0299466612329029,,,,,,,
2004-07-02,0.001749819523825025,,,,,,,
2004-07-05,0.002209898004398525,,,,,,,
2004-07-06,0.003450595990452499,,,,,,,
2004-07-07,-0.008643506020511893,,,,,,,
2004-07-08,0.003436169570396608,,,,,,,
2004-07-09,-0.004150818827150182,,,,,,,
2004-07-12,-0.02040831328656534,,,,,,,
2004-07-13,0.002671791025868231,,,,,,,
2004-07-14,0.005738928216151074,,,,,,,
2004-07-15,0.01468030085879235,,,,,,,
2004-07-16,0.02190422322527219,,,,,,,
2004-07-19,0.001309674880906719,,,,,,,
2004-07-20,-0.008682110032201429,,,,,,,
2004-07-21,0.001361890684711042,,,,,,,
2004-07-22,-0.02953307185200682,,,,,,,
2004-07-23,0.00207857069224282,,,,,,,
2004-07-26,-0.01241500669403184,,,,,,,
2004-07-27,-0.000475908523871027,,,,,,,
2004-07-28,0.003017627209063178,,,,,,,
2004-07-29,0.01396309483611979,,,,,,,
2004-07-30,-0.01372031210340108,,,,,,,
2004-08-02,-0.006920289591262119,,,,,,,
2004-08-03,-0.007494514591829926,,,,,,,
2004-08-04,0.03272843203267328,,,,,,,
2004-08-05,-0.01521780363465464,,,,,,,
2004-08-06,0.002724318408758641,,,,,,,
2004-08-09,0.01004199846300313,,,,,,,
2004-08-10,0.00625780204849935,,,,,,,
2004-08-11,-0.01295947312036461,,,,,,,
2004-08-12,-0.007440608502744972,,,,,,,
2004-08-13,-0.0009146862878273154,,,,,,,
2004-08-16,-0.003302027837239763,,,,,,,
2004-08-17,0.007548785894782029,,,,,,,
2004-08-18,0.001086294690162859,,,,,,,
2004-08-19,-0.00939863791373785,,,,,,,
2004-08-20,0.001670215801816255,,,,,,,
2004-08-23,-0.01690771348581865,,,,,,,
2004-08-24,0.009074543509957067,,,,,,,
2004-08-25,-0.003794350976126459,,,,,,,
2004-08-26,-0.002541325879193757,,,,,,,
2004-08-27,-0.009460595395778704,,,,,,,
2004-08-30,-0.001868894781543951,,,,,,,
2004-08-31,0.01544610336940089,,,,,,,
2004-09-01,-0.01715949147373497,,,,,,,
2004-09-02,0.001169053143455834,,,,,,,
2004-09-03,-0.002441809514272641,,,,,,,
2004-09-06,-0.005393061397946042,,,,,,,
2004-09-07,0.003515062450825113,,,,,,,
2004-09-08,-0.01512919419559999,,,,,,,
2004-09-09,-0.01883246457680343,,,,,,,
2004-09-10,0.004128373394038931,,,,,,,
2004-09-13,-0.02119801569421309,,,,,,,
2004-09-14,0.03069536230986802,,,,,,,
2004-09-15,0.0372803273545097,,,,,,,
2004-09-16,0.01183643430856041,,,,,,,
2004-09-17,0.03151068017425995,,,,,,,
2004-09-20,0.03456598108520303,,,,,,,
2004-09-21,-0.01053074399923659,,,,,,,
2004-09-22,-0.02319896424075374,,,,,,,
2004-09-23,0.036016984843533,,,,,,,
2004-09-24,-0.0169206657919645,,,,,,,
2004-09-27,-0.005218145645994987,,,,,,,
2004-09-28,0.001721307139685102,,,,,,,
2004-09-29,-0.01200504803965963,,,,,,,
2004-09-30,-0.01300520259270055,,,,,,,
2004-10-08,0.01252455402832986,,,,,,,
2004-10-11,-0.01375860088386283,,,,,,,
2004-10-12,-0.02245513148371092,,,,,,,
2004-10-13,-0.0008311677276173768,,,,,,,
2004-10-14,-0.02827953393343385,,,,,,,
2004-10-15,0.003301948870915616,,,,,,,
2004-10-18,0.003336400466679379,,,,,,,
2004-10-19,0.002568470344299634,,,,,,,
2004-10-20,-0.006280060542003696,,,,,,,
2004-10-21,-0.01729698454411821,,,,,,,
2004-10-22,0.01655756251091844,,,,,,,
2004-10-25,-0.01500839343418647,,,,,,,
2004-10-26,0.0117255909875551,,,,,,,
2004-10-27,0.01021187830455439,,,,,,,
2004-10-28,-0.002194868962779317,,,,,,,
2004-10-29,-0.01382242455311644,,,,,,,
2004-11-01,-0.009183161176173904,,,,,,,
2004-11-02,-0.0006724326081739562,,,,,,,
2004-11-03,0.0175658909728611,,,,,,,
2004-11-04,-0.01923733634939762,,,,,,,
2004-11-05,0.001683042873796836,,,,,,,
2004-11-08,0.002409360600258204,,,,,,,
2004-11-09,0.000266063590767196,,,,,,,
2004-11-10,0.03768163726982188,,,,,,,
2004-11-11,-0.004085100665059294,,,,,,,
2004-11-12,0.004530549852240995,,,,,,,
2004-11-15,0.009772064733793329,,,,,,,
2004-11-16,-0.0002867035725264699,,,,,,,
2004-11-17,-0.0117815478267902,,,,,,,
2004-11-18,0.005242286328916101,,,,,,,
2004-11-19,0.006825965070400564,,,,,,,
2004-11-22,-0.001268734690248685,,,,,,,
2004-11-23,-0.01395141380820331,,,,,,,
2004-11-24,-0.004679066665969955,,,,,,,
2004-11-25,0.001865273870774509,,,,,,,
2004-11-26,-0.001910263185819439,,,,,,,
2004-11-29,-0.01110657559760764,,,,,,,
2004-11-30,5.686438414542749e-05,,,,,,,
2004-12-01,-0.004456584246309347,,,,,,,
2004-12-02,-0.004889705310178627,,,,,,,
2004-12-03,0.0004934899594610798,,,,,,,
2004-12-06,0.003939176951536894,,,,,,,
2004-12-07,-0.00769812611421461,,,,,,,
2004-12-08,0.0007022836017611667,,,,,,,
2004-12-09,0.01123825929439093,,,,,,,
2004-12-10,-0.01177931944009281,,,,,,,
2004-12-13,-0.003079249805034046,,,,,,,
2004-12-14,-0.004282860084641626,,,,,,,
