date_key,whole_market_signal,000016.SH_signal,000300.SH_signal,000510.SH_signal,000688.SH_signal,000852.SH_signal,000905.SH_signal,399006.SZ_signal,932000.CSI_signal
2004-11-29,-0.004333798,-0.004333798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-11-30,-0.0114864187,-0.0114864187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,-0.01200550065,-0.01200550065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-02,-0.006066281650000001,-0.006066281650000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-03,-0.006909724650000001,-0.006909724650000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-06,-0.0025121946500000006,-0.0025121946500000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-07,0.00942213035,0.00942213035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-08,0.01415352095,0.01415352095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-09,0.01607672445,0.01607672445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-10,0.01258499865,0.01258499865,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-13,0.01370598325,0.01370598325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-14,0.01517563635,0.01517563635,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-15,0.00927230295,0.00927230295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-16,0.00809283135,0.00809283135,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-17,0.00703961355,0.00703961355,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-20,0.01146984795,0.01146984795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-21,0.0017146019500000002,0.0017146019500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-22,-0.0029571840499999997,-0.0029571840499999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-23,-0.0031436869799999997,-0.0031436869799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-24,0.005860019020000001,0.005860019020000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-27,0.02051140302,0.02051140302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-28,-0.005423691979999999,-0.005423691979999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-29,-0.003531065679999999,-0.003531065679999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-30,-0.006455690479999999,-0.006455690479999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-31,-0.002228271979999999,-0.002228271979999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-04,-0.0019140623799999991,-0.0019140623799999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-05,-0.01074890838,-0.01074890838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-06,-0.00833403368,-0.00833403368,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-07,-0.02080135268,-0.02080135268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-10,-0.026844697379999997,-0.026844697379999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-11,-0.029537411679999997,-0.029537411679999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-12,-0.012869929679999996,-0.012869929679999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-13,-0.004645628679999996,-0.004645628679999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-14,0.0011026543200000037,0.0011026543200000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-17,-0.0059474649799999965,-0.0059474649799999965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-18,-0.007486851779999996,-0.007486851779999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-19,-0.011545212779999996,-0.011545212779999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-20,-0.0022854637799999966,-0.0022854637799999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-21,-0.023590799779999998,-0.023590799779999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-24,-0.035622898779999995,-0.035622898779999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-25,-0.006553281779999996,-0.006553281779999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-26,-0.012864027779999995,-0.012864027779999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-27,0.036001126220000006,0.036001126220000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-28,0.055330916220000005,0.055330916220000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-31,0.07852519222000001,0.07852519222000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.08490277722000002,0.08490277722000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-02,0.07005993722000002,0.07005993722000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-03,0.07279100342000003,0.07279100342000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-04,0.11747669342000003,0.11747669342000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-16,0.13359701542000002,0.13359701542000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-17,0.14825580142000003,0.14825580142000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-18,0.21850738542000003,0.21850738542000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-21,0.25450491742000003,0.25450491742000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-22,0.27635275442,0.27635275442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-23,0.27668031175,0.27668031175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-24,0.31237096975,0.31237096975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-25,0.32790408875,0.32790408875,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-28,0.31089321375,0.31089321375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
